model,feature_variant,n_cycles,MAE_mean,MAE_std,R2_mean,R2_std,MAPE_mean,MAPE_std,SMAPE_mean,SMAPE_std
random_forest,with_qd_std,25,129.0542607673372,13.109583704803583,0.5055164801153641,0.12552627956938206,18.756552795796388,3.760939571838972,17.561320900768123,2.0409407151757004
random_forest,with_qd_std,50,119.58960024828113,9.699872902303941,0.6028374268207817,0.051127634240622444,17.54443518070874,2.7932139928692834,16.460999416849138,1.739475319350064
random_forest,with_qd_std,100,114.78223836792293,9.32772660276595,0.631882594067935,0.03539843662885685,16.73000819459814,2.3671365660201826,15.90104791379001,1.4699554951386353
random_forest,without_qd_std,25,132.26805697798935,13.78849737654034,0.47901183366945066,0.15175467422658204,19.245322349996705,4.14290505846697,17.984403843043772,2.163454841673332
random_forest,without_qd_std,50,122.48776601584686,11.248137418542084,0.584442777441677,0.05164990090639082,18.08804806424257,2.409259201735897,16.93288984924941,1.540147307950368
random_forest,without_qd_std,100,109.54108622464132,9.980779696931604,0.671283226072204,0.017732102380037865,16.00022781257915,2.391335456232175,15.157393550961427,1.6497580771429308
xgboost,with_qd_std,25,138.52985121783087,16.957037929938025,0.39647301928283746,0.19283877455351486,20.280156889754544,4.294253526603933,18.7835900805379,2.7081875449953725
xgboost,with_qd_std,50,116.83227862189798,30.632811010426156,0.5763210005312154,0.18558786444398384,17.53435498427157,6.732219165429579,16.126814691944123,4.8370885907737105
xgboost,with_qd_std,100,106.65129681755514,7.498665985602822,0.657020139727664,0.05284575957579875,15.791529836551382,2.059632983995883,15.012653960004048,1.0860442380259696
xgboost,without_qd_std,25,142.9721205767463,16.124532058105434,0.36402892064940373,0.21616311485661613,21.284550051787384,4.19407175643692,19.55322153693645,2.629037560036358
xgboost,without_qd_std,50,117.80625538545496,34.7219705676587,0.5800386804082643,0.2449790667109511,17.53572603209683,6.870545868253755,16.276497587801213,5.2087578071275065
xgboost,without_qd_std,100,103.4642578125,10.723102791667461,0.6745533260072586,0.06853199853152366,15.32012392826428,2.380765629263154,14.625120339303905,1.386031301733759
catboost,with_qd_std,25,114.9132078536528,16.155795710587157,0.6152091056272972,0.08153618141471891,15.885478393245041,2.3887239559322846,15.357600196661735,1.7687846554878677
catboost,with_qd_std,50,104.72723708598976,16.70498351279925,0.6893136894961245,0.0909983102750801,14.84729951237639,0.908889705829221,14.248133213781614,1.3830823628077498
catboost,with_qd_std,100,95.7710997170935,17.829237828022567,0.7282510455459505,0.12187614845939888,13.295662126941803,2.4356880816233355,13.078038832869968,2.0694957261774762
catboost,without_qd_std,25,121.1666344327291,16.702647970057836,0.5753121643437417,0.07367144114160479,16.933891377288376,2.415491823909556,16.222712750477637,1.8900306845727335
catboost,without_qd_std,50,107.85550029105806,24.689257681368076,0.6651777906118493,0.13658186131936104,15.137053991208983,3.4677923842128235,14.619987315219891,3.0190908957574645
catboost,without_qd_std,100,92.29297010435593,17.90445242420751,0.7736262832959343,0.07537375083842314,13.032567112029948,2.285412387875404,12.727304178594334,2.168153606595826
elastic_net,with_qd_std,25,163.04445209729334,10.499376156783216,0.30177622921417635,0.11590674597175482,23.83761328095774,1.9101683995934475,22.95850349973882,0.8414767761776218
elastic_net,with_qd_std,50,164.86551264892992,10.317699074545303,0.3005544277807937,0.10455801753359104,24.168799408538327,2.0845939414326,23.198804437279072,0.9890091678142994
elastic_net,with_qd_std,100,166.5542141000782,12.251782283777455,0.2877556769345612,0.11908443314648753,24.498924669934077,2.5586670164092555,23.458444146977797,1.3781284478672573
elastic_net,without_qd_std,25,163.99862225579278,10.071282614660628,0.30050938999219035,0.11008299690585707,24.04540139149669,1.9306373810847832,23.116583839535163,0.8120775625010254
elastic_net,without_qd_std,50,165.3516963141893,10.42715278559685,0.300952930893017,0.10233259922464509,24.297688926702804,2.0757179349684978,23.29160370569356,0.9973955771749649
elastic_net,without_qd_std,100,169.37786351358722,11.158516442329974,0.2768321109274576,0.1056739555825178,25.035274840185124,2.543606942846658,23.92612830590534,1.278785336261227
