scenario,scope,direction,model,window,target_column,feature_set,censor_column,censor_rate,num_seeds,mae_mean,mae_std,smape_mean,smape_std,r2_mean,r2_std,train_rows,test_rows
eol_80pct_q0_observed_only,within_dataset,b1_to_b1,elastic_net,50,_target_label,sop12_transition,is_censored_80pct_q0,0.8780487804878049,5,313.6984737387615,235.73007368167302,16.554696221290442,11.509991050221013,,,3,1
eol_80pct_q0_observed_only,within_dataset,b1_to_b1,elastic_net,100,_target_label,sop12_transition,is_censored_80pct_q0,0.8780487804878049,5,644.5999949212645,652.2901734114348,47.90209441636396,55.43702201040833,,,3,1
eol_80pct_q0_observed_only,within_dataset,b1_to_b1,xgboost,50,_target_label,sop12_transition,is_censored_80pct_q0,0.8780487804878049,5,205.7896240234375,149.61917634022277,11.30622425794158,8.134026533567136,,,3,1
eol_80pct_q0_observed_only,within_dataset,b1_to_b1,xgboost,100,_target_label,sop12_transition,is_censored_80pct_q0,0.8780487804878049,5,204.6653564453125,138.9458099443627,11.265766018657862,7.566397425877155,,,3,1
eol_88ah_observed_only,within_dataset,b1_to_b1,elastic_net,50,_target_label,sop12_transition,is_censored_88ah,0.8780487804878049,5,354.9586072384413,325.0098694773835,18.03126738382287,14.087497966717264,,,3,1
eol_88ah_observed_only,within_dataset,b1_to_b1,elastic_net,100,_target_label,sop12_transition,is_censored_88ah,0.8780487804878049,5,632.6612447319201,630.4251931098577,46.54719242442444,53.09876681137778,,,3,1
eol_88ah_observed_only,within_dataset,b1_to_b1,xgboost,50,_target_label,sop12_transition,is_censored_88ah,0.8780487804878049,5,199.017919921875,148.12418670824366,10.996348481660851,8.09430069943804,,,3,1
eol_88ah_observed_only,within_dataset,b1_to_b1,xgboost,100,_target_label,sop12_transition,is_censored_88ah,0.8780487804878049,5,198.0658203125,138.0141784966543,10.964586570124355,7.5495485435608165,,,3,1
stored_cycle_life,within_dataset,b1_to_b1,elastic_net,50,_target_label,sop12_transition,,,5,362.2237331747654,364.8467448269882,26.542181421297688,7.54104943030891,-39.417692541209576,85.47531560611546,28,6
stored_cycle_life,within_dataset,b1_to_b1,elastic_net,100,_target_label,sop12_transition,,,5,234.7626159449826,71.96346884808263,28.944094589207975,11.765465374676483,-4.376358868059679,6.524134489890148,28,6
stored_cycle_life,within_dataset,b1_to_b1,xgboost,50,_target_label,sop12_transition,,,5,162.59961547851563,38.17935697024758,19.192065015952416,3.8889480878460345,-0.7064904391049716,1.1062716939470418,28,6
stored_cycle_life,within_dataset,b1_to_b1,xgboost,100,_target_label,sop12_transition,,,5,190.12269409179686,33.85618755117726,20.386598076342658,1.7144929475094877,-2.20239270346844,1.808927575795945,28,6
